Lead,N_valid,rmse_LR,err_rmse_LR,acc_LR,err_acc_LR
1,145,0.0658601124716771,0.00386743897028813,0.997330741022611,0.000444282750940855
2,145,0.175826870689857,0.0103249093603081,0.98126466725012,0.00309330440054261
3,145,0.317046951809877,0.0186176380638263,0.939095652230128,0.0098416129968725
4,145,0.444391743968343,0.0260955817443612,0.878744738092885,0.0189839737728389
5,145,0.552106984477649,0.0324208384620566,0.809097485469486,0.0287801049172463
6,145,0.647595672856147,0.0380281273171359,0.728579644209453,0.0390976418369689
7,145,0.729245384393266,0.0428227634703498,0.642029255836157,0.0489832028875392
8,145,0.795729705315923,0.0467268572229987,0.554598017137303,0.0577017532822809
9,145,0.846501869561644,0.0497083013663596,0.473694588374006,0.0646344530787651
10,145,0.881047705232924,0.0517369026869803,0.409469869229846,0.0693612021827411
11,145,0.901219575439943,0.0529214356920791,0.373719682169593,0.0716944665965882
