Season,Observed
MAM-1948,-9999
AMJ-1948,-9999
MJJ-1948,-9999
JJA-1948,-9999
JAS-1948,-9999
ASO-1948,-9999
SON-1948,-9999
OND-1948,-9999
NDJ-1948,-9999
DJF-1948,-9999
JFM-1949,-9999
FMA-1949,-9999
MAM-1949,-9999
AMJ-1949,-9999
MJJ-1949,-9999
JJA-1949,-9999
JAS-1949,-9999
ASO-1949,-9999
SON-1949,-9999
OND-1949,-9999
NDJ-1949,-9999
DJF-1949,-9999
JFM-1950,-6666.66333333333
FMA-1950,-3334.22666666667
MAM-1950,-1.7
AMJ-1950,-1.55
MJJ-1950,-1.57
JJA-1950,-1.52
JAS-1950,-1.34333333333333
ASO-1950,-1.08333333333333
SON-1950,-0.986666666666667
OND-1950,-0.993333333333333
NDJ-1950,-1.08
DJF-1950,-1.19
JFM-1951,-1.28
FMA-1951,-1.21666666666667
MAM-1951,-0.906666666666667
AMJ-1951,-0.55
MJJ-1951,-0.206666666666667
JJA-1951,-0.08
JAS-1951,0.0966666666666667
ASO-1951,0.156666666666667
SON-1951,0.326666666666667
OND-1951,0.39
NDJ-1951,0.516666666666667
DJF-1951,0.45
JFM-1952,0.33
FMA-1952,0.143333333333333
MAM-1952,0.00333333333333334
AMJ-1952,-0.0466666666666667
MJJ-1952,-0.09
JJA-1952,-0.233333333333333
JAS-1952,-0.48
ASO-1952,-0.62
SON-1952,-0.56
OND-1952,-0.46
NDJ-1952,-0.533333333333333
DJF-1952,-0.543333333333333
JFM-1953,-0.323333333333333
FMA-1953,0.0166666666666667
MAM-1953,0.243333333333333
AMJ-1953,0.25
MJJ-1953,0.286666666666667
JJA-1953,0.32
JAS-1953,0.293333333333333
ASO-1953,0.206666666666667
SON-1953,0.173333333333333
OND-1953,0.18
NDJ-1953,0.21
DJF-1953,0.25
JFM-1954,0.34
FMA-1954,0.373333333333333
MAM-1954,0.11
AMJ-1954,-0.423333333333333
MJJ-1954,-0.786666666666667
JJA-1954,-0.97
JAS-1954,-0.973333333333333
ASO-1954,-1.18
SON-1954,-1.40333333333333
OND-1954,-1.50333333333333
NDJ-1954,-1.40333333333333
DJF-1954,-1.31333333333333
JFM-1955,-1.13
FMA-1955,-1.07
MAM-1955,-0.98
AMJ-1955,-1.07666666666667
MJJ-1955,-1.18666666666667
JJA-1955,-1.22666666666667
JAS-1955,-1.20333333333333
ASO-1955,-1.22666666666667
SON-1955,-1.31
OND-1955,-1.69666666666667
NDJ-1955,-2.06333333333333
DJF-1955,-2.26333333333333
JFM-1956,-1.89333333333333
FMA-1956,-1.40666666666667
MAM-1956,-1.00666666666667
AMJ-1956,-0.93
MJJ-1956,-0.866666666666667
JJA-1956,-0.896666666666667
JAS-1956,-0.926666666666667
ASO-1956,-1.05
SON-1956,-1.07
OND-1956,-1.04
NDJ-1956,-1.03
DJF-1956,-1
JFM-1957,-0.846666666666667
FMA-1957,-0.54
MAM-1957,-0.183333333333333
AMJ-1957,0.123333333333333
MJJ-1957,0.403333333333333
JJA-1957,0.553333333333333
JAS-1957,0.706666666666667
ASO-1957,0.78
SON-1957,0.81
OND-1957,0.753333333333333
NDJ-1957,0.78
DJF-1957,0.973333333333333
JFM-1958,1.33333333333333
FMA-1958,1.52333333333333
MAM-1958,1.41666666666667
AMJ-1958,0.976666666666667
MJJ-1958,0.606666666666667
JJA-1958,0.366666666666667
JAS-1958,0.223333333333333
ASO-1958,0.0933333333333333
SON-1958,-0.1
OND-1958,-0.2
NDJ-1958,-0.18
DJF-1958,-0.0666666666666667
JFM-1959,0.2
FMA-1959,0.326666666666667
MAM-1959,0.383333333333333
AMJ-1959,0.226666666666667
MJJ-1959,0.00666666666666666
JJA-1959,-0.173333333333333
JAS-1959,-0.48
ASO-1959,-0.66
SON-1959,-0.81
OND-1959,-0.683333333333333
NDJ-1959,-0.646666666666667
DJF-1959,-0.52
JFM-1960,-0.453333333333333
FMA-1960,-0.386666666666667
MAM-1960,-0.346666666666667
AMJ-1960,-0.363333333333333
MJJ-1960,-0.293333333333333
JJA-1960,-0.356666666666667
JAS-1960,-0.383333333333333
ASO-1960,-0.35
SON-1960,-0.28
OND-1960,-0.306666666666667
NDJ-1960,-0.406666666666667
DJF-1960,-0.44
JFM-1961,-0.38
FMA-1961,-0.293333333333333
MAM-1961,-0.283333333333333
AMJ-1961,-0.333333333333333
MJJ-1961,-0.33
JJA-1961,-0.233333333333333
JAS-1961,-0.216666666666667
ASO-1961,-0.38
SON-1961,-0.673333333333333
OND-1961,-0.873333333333333
NDJ-1961,-0.86
DJF-1961,-0.756666666666667
JFM-1962,-0.616666666666667
FMA-1962,-0.596666666666667
MAM-1962,-0.546666666666667
AMJ-1962,-0.58
MJJ-1962,-0.686666666666667
JJA-1962,-0.743333333333333
JAS-1962,-0.69
